DATE,BLOCK,PLOT,BURNED,RODENTS,TRANSECT,SPECIES,1,2,3,4,5,6,7,8,9,10,11,12,mean,Orange,Density (m2)
2013,2,US,U,S,1,SCAR,1,2,0,0,0,1,0,4,0,1,0,0,0.75,Y,30
2013,2,US,U,S,1,BRTE,0,0,0,0,0,0,0,0,0,1,1,12,1.166666667,N,9.333333333
2013,2,US,U,S,1,ERCI,1,0,0,0,2,0,0,1,1,0,0,0,0.416666667,N,3.333333333
2013,2,US,U,S,1,LUPI,1,0,0,0,0,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,2,US,U,S,1,ALAL,0,0,1,0,0,0,0,1,1,0,0,0,0.25,N,2
2013,2,US,U,S,2,BRRU,16,9,19,1,18,11,23,4,13,13,12,2,11.75,Y,470
2013,2,US,U,S,2,SCAR,0,0,0,1,0,0,0,0,0,1,0,0,0.166666667,Y,6.666666667
2013,2,US,U,S,2,ERCI,0,0,1,0,0,0,0,0,0,1,0,0,0.166666667,N,1.333333333
2013,2,US,U,S,2,ALAL,0,0,2,2,1,3,0,0,0,0,1,0,0.75,N,6
2013,2,US,U,S,2,ASTR,0,0,0,0,0,1,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,2,US,U,S,3,BRRU,3,13,8,8,16,33,24,18,14,3,2,10,12.66666667,Y,506.6666667
2013,2,US,U,S,3,BRTE,0,0,0,0,2,0,0,0,0,0,0,0,0.166666667,N,1.333333333
2013,2,US,U,S,3,SCAR,0,0,0,0,0,0,0,0,2,0,0,0,0.166666667,Y,6.666666667
2013,2,US,U,S,3,ERCI,2,1,2,0,0,0,0,0,0,0,2,0,0.583333333,N,4.666666667
2013,2,US,U,S,3,ASTR,1,2,0,0,1,0,0,0,0,0,1,1,0.5,N,4
2013,2,US,U,S,3,ALAL,0,0,0,0,0,0,1,0,1,0,0,0,0.166666667,N,1.333333333
2013,3,BN,B,N,1,BRRU,3,4,22,7,10,16,4,11,22,21,26,24,14.16666667,Y,566.6666667
2013,3,BN,B,N,1,SCAR,1,0,0,0,0,2,0,0,0,0,0,1,0.333333333,Y,13.33333333
2013,3,BN,B,N,1,BRTE,0,0,0,0,0,1,0,0,0,0,0,3,0.333333333,N,2.666666667
2013,3,BN,B,N,1,ASTR,0,1,2,0,1,0,0,1,0,0,0,0,0.416666667,N,3.333333333
2013,3,BN,B,N,1,ERCI,8,5,0,1,0,1,4,0,0,1,2,2,2,N,16
2013,3,BN,B,N,1,ALAL,0,0,1,3,0,0,2,3,3,3,1,0,1.333333333,N,10.66666667
2013,3,BN,B,N,2,BRRU,2,0,4,6,8,12,9,28,27,8,36,13,12.75,Y,510
2013,3,BN,B,N,2,SCAR,4,0,3,0,0,0,0,1,1,1,0,3,1.083333333,Y,43.33333333
2013,3,BN,B,N,2,BRTE,1,1,0,0,4,1,0,0,0,1,2,1,0.916666667,N,7.333333333
2013,3,BN,B,N,2,ERCI,3,4,4,6,1,3,2,2,0,11,2,3,3.416666667,N,27.33333333
2013,3,BN,B,N,2,ALAL,0,1,1,0,0,1,0,1,2,0,0,2,0.666666667,N,5.333333333
2013,3,BN,B,N,2,LUPI,0,2,1,0,0,0,0,0,0,0,0,0,0.25,N,2
2013,3,BN,B,N,2,ASTR,0,0,0,0,0,0,0,0,0,1,0,0,0.083333333,N,0.666666667
2013,3,BN,B,N,3,BRRU,18,4,5,17,8,24,18,14,33,4,12,20,14.75,Y,590
2013,3,BN,B,N,3,SCAR,0,0,0,0,0,0,0,1,0,2,0,1,0.333333333,Y,13.33333333
2013,3,BN,B,N,3,ALAL,1,0,0,0,0,4,1,4,1,2,2,4,1.583333333,N,12.66666667
2013,3,BN,B,N,3,CICU,2,4,2,4,0,2,4,1,0,1,1,1,1.833333333,N,14.66666667
2013,3,BS,B,S,1,BRRU,7,3,17,25,8,20,12,4,15,13,15,1,11.66666667,Y,466.6666667
2013,3,BS,B,S,1,SCAR,0,0,3,0,0,0,1,6,2,0,0,2,1.166666667,Y,46.66666667
2013,3,BS,B,S,1,BRTE,0,2,0,0,0,1,0,0,0,0,0,0,0.25,N,2
2013,3,BS,B,S,1,ERCI,4,2,0,0,3,0,6,0,2,1,2,2,1.833333333,N,14.66666667
2013,3,BS,B,S,1,ALAL,0,0,0,0,0,0,0,1,0,0,0,3,0.333333333,N,2.666666667
2013,3,BS,B,S,1,ASTR,3,3,0,0,0,4,5,0,0,0,0,0,1.25,N,10
2013,3,BS,B,S,2,BRRU,13,19,7,3,15,5,6,5,9,10,16,3,9.25,Y,370
2013,3,BS,B,S,2,SCAR,1,0,1,0,0,1,0,0,2,0,0,0,0.416666667,Y,16.66666667
2013,3,BS,B,S,2,BRTE,0,0,0,0,0,0,1,0,0,0,0,1,0.166666667,N,1.333333333
2013,3,BS,B,S,2,ERCI,4,2,1,0,0,2,3,3,1,3,0,1,1.666666667,N,13.33333333
2013,3,BS,B,S,2,LUPI,0,1,0,0,0,0,0,1,0,0,0,0,0.166666667,N,1.333333333
2013,3,BS,B,S,2,BAIL,0,0,1,1,0,0,0,0,0,0,0,0,0.166666667,N,1.333333333
2013,3,BS,B,S,2,ALAL,0,0,0,0,2,0,0,1,0,0,0,0,0.25,N,2
2013,3,BS,B,S,2,ERIN,0,0,0,0,1,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,3,BS,B,S,3,BRRU,7,8,5,11,4,8,11,1,3,4,5,9,6.333333333,Y,253.3333333
2013,3,BS,B,S,3,BRTE,2,0,0,2,1,0,0,1,3,0,0,0,0.75,N,6
2013,3,BS,B,S,3,SCAR,1,0,0,0,0,1,0,2,0,0,0,0,0.333333333,Y,13.33333333
2013,3,BS,B,S,3,ERCI,3,4,4,3,10,1,3,3,0,0,0,0,2.583333333,N,20.66666667
2013,3,BS,B,S,3,LUPI,0,0,0,0,0,0,1,0,0,0,0,1,0.166666667,N,1.333333333
2013,3,BS,B,S,3,ALAL,0,0,0,0,0,0,1,0,0,1,0,0,0.166666667,N,1.333333333
2013,3,BS,B,S,3,UKRT,0,0,0,0,0,0,1,0,0,0,0,0,0.083333333,N,0.666666667
2013,3,UN,U,N,1,BRRU,19,17,0,21,20,12,6,10,0,22,31,11,14.08333333,Y,563.3333333
2013,3,UN,U,N,1,BRTE,0,0,0,0,0,0,0,0,2,0,0,0,0.166666667,N,1.333333333
2013,3,UN,U,N,1,ASTR,1,0,0,0,0,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,3,UN,U,N,1,ERCI,0,0,1,0,0,1,0,0,2,0,0,0,0.333333333,N,2.666666667
2013,3,UN,U,N,1,ALAL,0,0,0,0,0,0,1,0,2,0,0,1,0.333333333,N,2.666666667
2013,3,UN,U,N,1,BRRU,4,8,2,2,1,9,2,15,6,3,7,1,5,Y,200
2013,3,UN,U,N,1,SCAR,0,0,0,1,0,0,0,0,0,0,0,0,0.083333333,Y,3.333333333
2013,3,UN,U,N,2,BRRU,23,12,4,31,19,16,4,16,6,9,17,14,14.25,Y,570
2013,3,UN,U,N,2,BRTE,0,0,0,1,1,0,0,0,0,0,0,0,0.166666667,N,1.333333333
2013,3,UN,U,N,2,ALAL,0,2,0,0,0,0,0,0,0,1,0,1,0.333333333,N,2.666666667
2013,3,UN,U,N,2,ERCI,0,0,0,0,0,0,2,1,0,0,0,1,0.333333333,N,2.666666667
2013,3,UN,U,N,3,BRRU,6,7,17,13,6,4,8,12,7,14,26,14,11.16666667,Y,446.6666667
2013,3,UN,U,N,3,SCAR,0,0,0,0,0,0,0,0,0,0,0,1,0.083333333,Y,3.333333333
2013,3,UN,U,N,3,BRTE,0,0,0,0,0,0,0,0,1,1,0,0,0.166666667,N,1.333333333
2013,3,UN,U,N,3,ALAL,1,0,0,0,0,0,0,0,0,0,0,2,0.25,N,2
2013,3,UN,U,N,3,ERCI,0,2,0,0,1,0,0,0,3,0,0,0,0.5,N,4
2013,3,UN,U,N,3,LUPI,1,0,0,0,0,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,3,US,U,S,1,BRRU,18,9,26,7,48,9,17,19,4,12,19,23,17.58333333,Y,703.3333333
2013,3,US,U,S,1,SCAR,0,2,0,0,0,0,0,0,0,0,1,0,0.25,Y,10
2013,3,US,U,S,1,LILY,0,0,0,0,0,2,0,0,0,1,0,0,0.25,N,2
2013,3,US,U,S,1,ERCI,2,0,0,0,0,0,0,0,2,3,2,0,0.75,N,6
2013,3,US,U,S,1,STELL,1,2,0,0,0,0,0,0,1,0,0,0,0.333333333,N,2.666666667
2013,3,US,U,S,1,ALAL,0,3,0,0,1,0,0,0,1,1,0,0,0.5,N,4
2013,3,US,U,S,1,LUPI,0,0,0,0,0,0,0,0,1,0,0,0,0.083333333,N,0.666666667
2013,3,US,U,S,2,BRRU,25,11,10,8,11,3,17,12,9,5,10,12,11.08333333,Y,443.3333333
2013,3,US,U,S,2,SCAR,0,0,0,0,0,0,0,0,0,1,0,0,0.083333333,Y,3.333333333
2013,3,US,U,S,2,ALAL,2,0,3,1,0,1,1,1,0,0,0,0,0.75,N,6
2013,3,US,U,S,2,ERCI,2,0,1,1,0,0,2,0,0,3,0,0,0.75,N,6
2013,3,US,U,S,2,STELL,0,0,1,1,1,0,0,1,0,2,1,0,0.583333333,N,4.666666667
2013,3,US,U,S,2,LUPI,0,0,1,1,0,0,2,0,0,0,0,0,0.333333333,N,2.666666667
2013,3,US,U,S,2,ERIN,0,0,0,0,0,1,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,3,US,U,S,2,BORA,0,0,0,0,0,0,0,1,0,0,0,0,0.083333333,N,0.666666667
2013,3,US,U,S,2,ASTR,0,0,0,0,0,0,0,0,0,0,1,0,0.083333333,N,0.666666667
2013,3,US,U,S,3,BRRU,19,4,18,12,7,13,19,4,6,11,6,15,11.16666667,Y,446.6666667
2013,3,US,U,S,3,BRTE,5,0,1,0,0,0,1,0,0,0,0,0,0.583333333,N,4.666666667
2013,3,US,U,S,3,SCAR,0,0,0,0,1,0,0,0,0,0,0,0,0.083333333,Y,3.333333333
2013,3,US,U,S,3,ALAL,2,4,0,1,3,2,0,0,0,0,0,0,1,N,8
